,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
720,BP 110/02 (717221),ZSK 70.8,23010166,9:14,10,LK,11,1.18,FAIL,73.41,5.11,23.35,-1.02,0.53,0.26,52.96,"1,02 dunkler","0,53 röter","0,26 gelber",0.9,3297 (08.03.2023 13:20:35)
721,BP 110/02 (717221),ZSK 70.5,23010165,18:00,10,LK,11,0.42,PASS,74.37,4.44,23.48,-0.06,-0.14,0.39,52.06,"0,06 dunkler","0,14 weniger rot","0,39 gelber",0.27,3303 (08.03.2023 14:15:20)
722,BP 110/02 (717221),ZSK 70.8,23010165,18:00,10,LK,11,0.67,PASS,74.05,4.54,22.54,-0.38,-0.04,-0.54,50.69,"0,38 dunkler","0,04 weniger rot","0,54 weniger gelb",0.39,3304 (08.03.2023 14:16:37)
723,BP 110/02 (717221),ZSK 70.5+8,23010165,18:00 AA,10,LK,11,0.44,PASS,74.79,4.36,22.96,0.36,-0.21,-0.12,50.89,"0,36 heller","0,21 weniger rot","0,12 weniger gelb",0.33,3305 (08.03.2023 14:17:43)
724,BP 110/02 (717221),MP,23010165,23:28,10,LK,11,1.34,FAIL,73.37,5.14,23.68,-1.06,0.56,0.6,53.59,"1,06 dunkler","0,56 röter","0,60 gelber",0.95,3306 (08.03.2023 14:18:55)
725,BP 110/02 (717221),ZSK 70.5,23010168,6:24,10,LK,11,4.77,FAIL,70.78,6.05,25.77,-3.65,1.48,2.69,59.5,"3,65 dunkler","1,48 röter","2,69 gelber",3.19,3310 (09.03.2023 08:39:31)
726,BP 110/02 (717221),ZSK 70.8,23010168,6:24,10,LK,11,1.13,FAIL,75.03,4.41,22.14,0.6,-0.16,-0.95,49.4,"0,60 heller","0,16 weniger rot","0,95 weniger gelb",0.64,3311 (09.03.2023 08:40:39)
727,BP 110/02 (717221),ZSK 70.5+8,23010168,06:00 AA,10,LK,11,1.42,FAIL,73.41,5.22,23.84,-1.02,0.64,0.75,53.91,"1,02 dunkler","0,64 röter","0,75 gelber",0.98,3312 (09.03.2023 08:41:39)
728,BP 800 (880031),ZSK 70.6,23880035,6:23,10,LK,11,11.26,FAIL,71.75,3.48,12.2,-2.68,-1.09,-10.88,30.95,"2,68 dunkler","1,09 weniger rot","10,88 weniger gelb",6.44,3313 (09.03.2023 08:44:16)
729,BP 110/02 (717221),MP,23010166,14:53,10,LK,11,1.29,FAIL,73.53,5.19,23.78,-0.9,0.61,0.7,53.74,"0,90 dunkler","0,61 röter","0,70 gelber",0.89,3323 (09.03.2023 10:26:44)
730,BP 110/02 (717221),ZSK 70.5,23010167,18:00,10,LK,11,4.33,FAIL,71.65,5.91,26.12,-2.79,1.33,3.03,59.43,"2,79 dunkler","1,33 röter","3,03 gelber",2.67,3328 (09.03.2023 10:38:11)
731,BP 110/02 (717221),ZSK 70.8,23010167,18:00,10,LK,11,0.45,PASS,74.79,4.49,22.84,0.36,-0.09,-0.25,50.79,"0,36 heller","0,09 weniger rot","0,25 weniger gelb",0.3,3329 (09.03.2023 10:39:31)
732,BP 110/02 (717221),ZSK 70.5+8,23010167,18:00 AA,10,LK,11,1.63,FAIL,72.93,5.05,23.49,-1.5,0.48,0.41,53.41,"1,50 dunkler","0,48 röter","0,41 gelber",1.2,3330 (09.03.2023 10:40:47)
733,BP 110/02 (717221),MP,23010167,4:18,10,LK,11,1.61,FAIL,73.14,5.22,23.79,-1.3,0.64,0.71,53.99,"1,30 dunkler","0,64 röter","0,71 gelber",1.15,3331 (09.03.2023 10:42:27)
734,BP 110/02 (717221),ZSK 70.5,23010169,6:19,10,Trainee,11,5.17,FAIL,70.27,6.28,25.64,-4.16,1.7,2.55,59.79,"4,16 dunkler","1,70 röter","2,55 gelber",3.58,3348 (10.03.2023 09:15:59)
735,BP 110/02 (717221),ZSK 70.8,23010169,6:19,10,Trainee,11,2.11,FAIL,75.79,3.99,21.58,1.36,-0.59,-1.5,47.68,"1,36 heller","0,59 weniger rot","1,50 weniger gelb",1.31,3349 (10.03.2023 09:17:25)
736,BP 110/02 (717221),ZSK 70.5+8,23010169,06:00 AA,10,Trainee,11,1.14,FAIL,73.45,5.06,23.41,-0.98,0.48,0.32,53.01,"0,98 dunkler","0,48 röter","0,32 gelber",0.85,3350 (10.03.2023 09:18:52)
737,BP 110/02 (717221),MP,23010168 1-22,1:37,10,Trainee,11,1.77,FAIL,73,5.17,23.95,-1.43,0.59,0.87,54.28,"1,43 dunkler","0,59 röter","0,87 gelber",1.23,3359 (10.03.2023 10:01:05)
738,BP 110/02 (717221),ZSK 70.5+8,23010168,18:00 AA,10,Trainee,11,0.54,PASS,74.02,4.61,22.75,-0.41,0.03,-0.34,51.13,"0,41 dunkler","0,03 röter","0,34 weniger gelb",0.36,3360 (10.03.2023 10:03:03)
739,BP 110/02 (717221),ZSK 70.5,23010168,18:00,10,Trainee,11,4.19,FAIL,71.09,5.76,25.33,-3.35,1.18,2.24,58.25,"3,35 dunkler","1,18 röter","2,24 gelber",2.84,3361 (10.03.2023 10:05:00)
740,BP 110/02 (717221),MP,23010169 1-22,21:31,11,Trainee,11,2.03,FAIL,72.9,5.26,24.22,-1.54,0.68,1.14,54.89,"1,54 dunkler","0,68 röter","1,14 gelber",1.36,3377 (13.03.2023 11:09:30)
741,BP 110/02 (717221),ZSK 70.5+8,23010169,18:00 AA,11,Trainee,11,0.87,Warnung,74.97,4.23,22.49,0.53,-0.35,-0.59,49.87,"0,53 heller","0,35 weniger rot","0,59 weniger gelb",0.56,3378 (13.03.2023 11:11:10)
742,BP 110/02 (717221),ZSK 70.8,23010171,9:50,11,LK,11,0.98,Warnung,73.59,4.97,23.39,-0.84,0.39,0.3,52.81,"0,84 dunkler","0,39 röter","0,30 gelber",0.72,3379 (13.03.2023 11:32:03)
743,BP 110/02 (717221),ZSK 70.9,23010171,10:36,11,LK,11,6.13,FAIL,69.97,6.63,26.76,-4.46,2.05,3.67,62.22,"4,46 dunkler","2,05 röter","3,67 gelber",4.02,3380 (13.03.2023 11:32:58)
744,BP 110/02 (717221),MP,23010170,5:08,10,LK,11,1.94,FAIL,72.77,5.19,23.89,-1.66,0.61,0.81,54.32,"1,66 dunkler","0,61 röter","0,81 gelber",1.38,3387 (13.03.2023 11:46:17)
745,BP 110/02 (717221),ZSK 70.8+9,23010171,11:25 AA,11,Trainee,11,1.08,FAIL,73.66,5.16,23.56,-0.77,0.58,0.47,53.25,"0,77 dunkler","0,58 röter","0,47 gelber",0.79,3398 (13.03.2023 13:55:09)
