,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
262,BP 110/02 (717221),ZSK 70.8,22010713,18:00 AA,44,LK,11,1.72,FAIL,73.29,5.42,24.06,-1.14,0.85,0.98,54.57,"1,14 dunkler","0,85 röter","0,98 gelber",1.18,1081 (07.11.2022 12:02:21)
263,BP 110/02 (717221),MP,22010713,3:22,44,LK,11,1.29,FAIL,73.77,5.28,23.94,-0.66,0.7,0.86,53.97,"0,66 dunkler","0,70 röter","0,86 gelber",0.85,1082 (07.11.2022 12:03:17)
264,BP 110/02 (717221),ZSK 70.8,22010714,8:20,45,LK,11,0.43,PASS,74.39,5,23.02,-0.05,0.43,-0.06,51.82,"0,05 dunkler","0,43 röter","0,06 weniger gelb",0.42,1085 (07.11.2022 12:08:54)
265,BP 110/02 (717221),ZSK 70.8,22010714,9:30,45,LK,11,1.47,FAIL,75.01,4.3,21.76,0.58,-0.28,-1.32,48.65,"0,58 heller","0,28 weniger rot","1,32 weniger gelb",0.79,1086 (07.11.2022 12:10:09)
266,BP 110/02 (717221),ZSK 70.8,22010714,18:21,45,LK,11,1.76,FAIL,75.93,4.16,22.27,1.5,-0.42,-0.81,48.97,"1,50 heller","0,42 weniger rot","0,81 weniger gelb",1.21,1118 (08.11.2022 09:04:59)
267,BP 110/02 (717221),ZSK 70.8,22010714,6:00,45,LK,11,1.12,FAIL,75.3,4.5,22.37,0.86,-0.08,-0.71,49.77,"0,86 heller","0,08 weniger rot","0,71 weniger gelb",0.72,1119 (08.11.2022 09:06:25)
268,BP 110/02 (717221),ZSK 70.8,22010714,06:00 AA,45,LK,11,0.94,Warnung,75.23,4.46,22.61,0.8,-0.12,-0.48,50.16,"0,80 heller","0,12 weniger rot","0,48 weniger gelb",0.63,1120 (08.11.2022 09:11:04)
269,BP 110/02 (717221),MP,22010714,9:45,45,LK,11,2.53,FAIL,76.19,3.86,21.42,1.76,-0.72,-1.67,47.08,"1,76 heller","0,72 weniger rot","1,67 weniger gelb",1.61,1128 (08.11.2022 13:04:59)
270,BP 110/02 (717221),ZSK 70.8,22010716,7:45,45,LK,11,2.54,FAIL,75.95,3.9,21.16,1.52,-0.68,-1.93,46.78,"1,52 heller","0,68 weniger rot","1,93 weniger gelb",1.54,1176 (10.11.2022 08:54:26)
271,BP 110/02 (717221),ZSK 70.8,22010716,06:00 AA,45,LK,11,3.71,FAIL,77.03,3.47,20.67,2.6,-1.11,-2.42,45.05,"2,60 heller","1,11 weniger rot","2,42 weniger gelb",2.39,1177 (10.11.2022 08:55:44)
272,BP 110/02 (717231),MP,22010716 1-22,12:17,45,SK,11,2.36,FAIL,75.86,3.92,21.33,1.42,-0.65,-1.76,47.13,"1,42 heller","0,65 weniger rot","1,76 weniger gelb",1.43,1184 (10.11.2022 12:26:27)
273,BP 110/02 (717221),ZSK 70.8,22010766,19:19,45,LK,11,2.07,FAIL,76.03,4.07,21.88,1.6,-0.51,-1.21,48.15,"1,60 heller","0,51 weniger rot","1,21 weniger gelb",1.36,1208 (11.11.2022 09:03:48)
274,BP 110/02 (717221),ZSK 70.8,22010766,6:00,45,LK,11,2.66,FAIL,76.41,3.74,21.52,1.98,-0.83,-1.57,47.06,"1,98 heller","0,83 weniger rot","1,57 weniger gelb",1.76,1209 (11.11.2022 09:05:07)
275,BP 110/02 (717221),ZSK 70.8,22010766,06:00 AA,45,LK,11,2.01,FAIL,75.86,4.07,21.76,1.43,-0.51,-1.32,48.03,"1,43 heller","0,51 weniger rot","1,32 weniger gelb",1.28,1210 (11.11.2022 09:06:26)
276,BP 110/02 (717221),ZSK 70.8,22010766,18:00,45,LK,11,3.68,FAIL,77.07,3.59,20.71,2.63,-0.98,-2.37,45.22,"2,63 heller","0,98 weniger rot","2,37 weniger gelb",2.36,1219 (14.11.2022 09:41:32)
277,BP 110/02 (717221),MP,22010766,19:23,45,LK,11,3.17,FAIL,76.74,3.76,21.08,2.3,-0.82,-2.01,46.16,"2,30 heller","0,82 weniger rot","2,01 weniger gelb",2.04,1220 (14.11.2022 09:42:44)
278,BP 110/02 (717231),ZSK 70.8,22010765,12:18,46,SK,11,1.41,FAIL,75.36,4.25,22.08,0.93,-0.33,-1.01,48.98,"0,93 heller","0,33 weniger rot","1,01 weniger gelb",0.87,1234 (14.11.2022 14:26:31)
279,BP 110/02 (717221),ZSK 70.8,22010767,6:05,46,LK,11,3.41,FAIL,76.81,3.61,20.84,2.37,-0.97,-2.25,45.56,"2,37 heller","0,97 weniger rot","2,25 weniger gelb",2.18,1240 (15.11.2022 08:42:12)
280,BP 110/02 (717221),ZSK 70.8,22010767,06:00 AA,46,LK,11,1.77,FAIL,75.78,4.15,22.01,1.34,-0.43,-1.07,48.58,"1,34 heller","0,43 weniger rot","1,07 weniger gelb",1.16,1241 (15.11.2022 08:43:44)
